Symbol,Date,Range,Range_MA_5,Range_MA_10,Range_MA_20,RangeCompression_5_vs_20,RangeCompression_10_vs_20,Overlap_Ratio,Overlap_Ratio_MA_5,Overlap_Ratio_MA_10,DirectionalEfficiency_5,DirectionalEfficiency_10,DirectionalEfficiency_20
USDJPY,2013-02-20,0.8930000000000007,0.9377999999999986,1.1452000000000013,1.1303000000000005,0.8296912324161712,1.0131823409714242,0.7290033594624813,0.5684143594351825,0.6511663314231543,0.5486903962390857,0.002750779387493233,0.29893335764427004
USDJPY,2013-02-21,1.0849999999999937,0.948599999999999,1.1706999999999994,1.0787999999999998,0.8793103448275855,1.0851872450871336,0.6635944700460857,0.5288733116403261,0.6410197543313778,0.3329137822529873,0.05921308920919417,0.18682688028482455
USDJPY,2013-02-22,0.5840000000000032,0.7425999999999988,1.0733000000000004,1.06265,0.6988189902601973,1.0100221145250086,1.0,0.6011161864854329,0.6997488942543557,0.3082149474984529,0.20840630472854677,0.2406678905498731
USDJPY,2013-02-25,3.3739999999999952,1.317399999999998,1.2123999999999995,1.1968999999999994,1.1006767482663535,1.0129501211462946,0.17308832246591702,0.5853338509786143,0.6526603487904079,0.5550258243941174,0.2491694352159471,0.1127903277123772
USDJPY,2013-02-26,1.617999999999995,1.5107999999999975,1.2302999999999984,1.2435999999999994,1.2148600836281749,0.9893052428433572,1.0,0.7131372303948968,0.6526603487904079,0.6685979142526054,0.28367670364500874,0.07238003530733436
USDJPY,2013-02-27,1.293999999999997,1.5909999999999969,1.2643999999999977,1.2738499999999995,1.2489696589080328,0.9925815441378485,1.0,0.7673365585024005,0.6678754589687915,0.36792003807710444,0.15743102249014698,0.03906899418121353
USDJPY,2013-02-28,0.8340000000000032,1.5407999999999986,1.2446999999999988,1.2628,1.220145707950585,0.9856667722521372,0.505995203836925,0.7358167052605684,0.6323450084504473,0.3738049713193102,0.2145985401459832,0.014569071441109069
USDJPY,2013-03-01,1.2420000000000044,1.672399999999999,1.207499999999999,1.2579500000000003,1.3294646051114898,0.959895067371516,0.32608695652173886,0.6010340965649161,0.6010751415251746,0.7761852260198415,0.06963788300835734,0.12731640356897697
USDJPY,2013-03-04,0.5480000000000018,1.1072000000000002,1.212299999999999,1.2252500000000004,0.9036523158539073,0.9894307284227698,0.9251824817518308,0.751452928422099,0.6683933897003567,0.8864168618267037,0.01942186088527526,0.022388795739225198
USDJPY,2013-03-05,0.5930000000000035,0.902200000000002,1.2064999999999997,1.1696000000000004,0.7713748290013694,1.0315492476060184,0.5632377740303561,0.6641004832281702,0.6886188568115335,0.7146417445482858,0.07879882592007331,0.016569104077785685
USDJPY,2013-03-06,1.100999999999999,0.8636000000000024,1.2272999999999996,1.1862500000000005,0.7280084299262398,1.0346048472075862,0.45231607629428255,0.5545636984870267,0.6609501284947136,0.7482133040131933,0.2322580645161286,0.025675161658424935
USDJPY,2013-03-07,1.2999999999999972,0.9568000000000012,1.2488,1.2097499999999997,0.7909072122339339,1.0322793965695394,0.24769230769231032,0.5029031192581037,0.6193599122593361,0.7451307735114104,0.3122807017543871,0.21579554189085434
USDJPY,2013-03-08,1.706000000000003,1.049600000000001,1.361,1.2171500000000002,0.8623423571457921,1.1181859261389309,0.14243845252051263,0.4661734184578584,0.5336037575113873,0.9046587215601266,0.8153846153846142,0.17647058823529413
USDJPY,2013-03-11,0.6899999999999977,1.078,1.0926000000000002,1.1524999999999999,0.9353579175704991,0.9480260303687639,0.853623188405798,0.45186155978865195,0.6016572441053755,1.0,0.9103016059537801,0.35650530295075106
