Symbol,Date,Range,Range_MA_5,Range_MA_10,Range_MA_20,RangeCompression_5_vs_20,RangeCompression_10_vs_20,Overlap_Ratio,Overlap_Ratio_MA_5,Overlap_Ratio_MA_10,DirectionalEfficiency_5,DirectionalEfficiency_10,DirectionalEfficiency_20
GBPUSD,2002-02-06,0.006099999999999994,0.009659999999999957,0.010280000000000001,0.009885,0.9772382397572036,1.0399595346484574,0.6393442622950849,0.6665475823415749,0.6456432464236685,0.080357142857144,0.24803149606299232,0.27759914255090923
GBPUSD,2002-02-07,0.008599999999999941,0.00985999999999998,0.010399999999999987,0.009845000000000003,1.0015236160487533,1.0563737938039597,0.534883720930229,0.607734852843407,0.6248072941923671,0.1075268817204305,0.16434540389971755,0.3957845433255289
GBPUSD,2002-02-08,0.008399999999999963,0.009039999999999982,0.00925999999999998,0.009640000000000004,0.9377593360995827,0.960580912863068,0.5357142857142819,0.5932777099862657,0.6475706419557146,0.584615384615393,0.16897506925207834,0.407319952774499
GBPUSD,2002-02-11,0.012199999999999989,0.009479999999999978,0.009689999999999999,0.009965000000000002,0.9513296537882565,0.972403411941796,0.49180327868852547,0.6056383657239716,0.6208016027359575,0.5038759689922563,0.2125984251968514,0.2302158273381316
GBPUSD,2002-02-12,0.01330000000000009,0.009719999999999996,0.009939999999999994,0.010075000000000011,0.964764267990073,0.9866004962779139,0.26315789473684476,0.4929806884729932,0.5739692440614966,1.0,0.36440677966101986,0.05450500556173428
GBPUSD,2002-02-13,0.008899999999999908,0.010279999999999978,0.009969999999999968,0.010135000000000005,1.0143068574247631,0.9837197829304355,0.8539325842696776,0.5358983528679117,0.6012229676047433,0.6486486486486508,0.387931034482759,0.07608695652173811
GBPUSD,2002-02-14,0.00649999999999995,0.00985999999999998,0.00985999999999998,0.009965000000000002,0.9894631209232291,0.9894631209232291,0.6461538461538483,0.5581523779126355,0.5829436153780213,0.6637931034482762,0.3348946135831415,0.08433734939758843
GBPUSD,2002-02-15,0.007399999999999851,0.009659999999999957,0.00934999999999997,0.009959999999999991,0.9698795180722857,0.9387550200803191,0.6891891891891871,0.5888473586076166,0.5910625342969412,0.571428571428575,0.25654450261780176,0.03097345132743266
GBPUSD,2002-02-18,0.006799999999999917,0.008579999999999944,0.00902999999999996,0.009894999999999987,0.867104598281956,0.9125821121778648,0.941176470588241,0.6787219969875598,0.6421801813557656,0.3445378151260614,0.3636363636363602,0.006802721088437121
GBPUSD,2002-02-19,0.011400000000000077,0.00819999999999994,0.008959999999999968,0.009964999999999991,0.8228800802809781,0.8991470145509258,0.5438596491228019,0.7348623478647512,0.6139215181688722,0.26785714285712553,0.5454545454545369,0.08419838523644828
GBPUSD,2002-02-20,0.007200000000000095,0.007859999999999978,0.009069999999999977,0.00967499999999999,0.8124031007751924,0.9374677002583967,1.0,0.7640758310108158,0.6499870919393638,0.2517985611510789,0.33684210526315744,0.022075055187637985
